# Immigration data for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
Bangladesh	1	1	1	27	8.36515149
Bangladesh	1	1	1	28	7.172799088
Bangladesh	1	1	1	29	5.467335144
Bangladesh	1	1	1	30	6.333455195
Bangladesh	1	1	1	31	5.793435533
Bangladesh	1	1	1	32	4.622100773
Bangladesh	1	1	1	33	4.420220534
Bangladesh	1	1	1	34	4.484331429
Bangladesh	1	1	1	35	5.878274988
Bangladesh	1	1	1	36	5.324412942
Bangladesh	1	1	1	37	4.980942932
Bangladesh	1	1	1	38	4.32581132
Bangladesh	1	1	1	39	4.208440222
Bangladesh	1	1	1	40	7.632584474
Bangladesh	1	1	1	41	6.795409731
Bangladesh	1	1	1	42	6.260465788
Bangladesh	1	1	1	43	5.051678661
Bangladesh	1	1	1	44	4.131000441
Bangladesh	1	1	1	45	3.238159052
Bangladesh	1	1	1	46	3.526226017
Bangladesh	1	1	1	47	3.143327659
Bangladesh	1	1	1	48	3.204317379
Bangladesh	1	1	1	49	2.583629998
Bangladesh	1	1	1	50	3.10499585
Bangladesh	1	1	1	51	3.341861791
Bangladesh	1	1	1	52	2.772920581
Bangladesh	1	1	1	53	2.963557373
Bangladesh	1	1	1	54	1.763439182
Bangladesh	1	1	1	55	1.742362639
Bangladesh	1	1	1	56	1.779025606
